a=2.0, 21 paddings, shell RMS against the exact Born potential
      w     worst    median      best | ratio to hard: worst / median / best
   0.00   0.00217   0.00157   0.00093 |  1.00x  1.00x  1.00x
   0.25   0.00211   0.00177   0.00139 |  2.24x  0.88x  0.72x
   0.50   0.00231   0.00184   0.00137 |  1.80x  1.19x  0.73x
   0.75   0.00214   0.00194   0.00133 |  2.15x  1.11x  0.61x
   1.00   0.00236   0.00177   0.00157 |  1.78x  1.25x  0.83x
   2.00   0.00228   0.00201   0.00194 |  2.18x  1.45x  0.89x
a=3.0, 21 paddings, shell RMS against the exact Born potential
      w     worst    median      best | ratio to hard: worst / median / best
   0.00   0.00202   0.00156   0.00061 |  1.00x  1.00x  1.00x
   0.25   0.00197   0.00176   0.00130 |  2.92x  1.12x  0.84x
   0.50   0.00195   0.00164   0.00131 |  2.88x  0.96x  0.69x
   0.75   0.00201   0.00160   0.00131 |  3.09x  0.94x  0.69x
   1.00   0.00192   0.00161   0.00147 |  2.78x  1.08x  0.73x
   2.00   0.00194   0.00181   0.00151 |  3.15x  1.14x  0.89x
